label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,adductName,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,kp-sample1,kp-sample2,kp-sample3,kp-sample4,kp-sample5,kp-sample6,kp-sample7,kp-sample8,kp-sample9
,17,17,0,255.233109,10.991,0.350435,,C12 PARENT,C16:0,C16:0,C16H32O2,0.871,0.597838,255.233109,2747150848,1101286784,1259417216,1459478656,6937011712,676750656,5293267456,1000642112,954585088
,17,18,0,256.236115,10.989,0.21494,,D2-label-1,C16:0,C16:0,C16H32O2,0.869,12.267092,255.233109,779510976,210735408,244012224,258622160,1236716672,126480448,940312576,188659328,217848656
,17,19,10,265.295319,10.921,0.775445,,D2-label-10,C16:0,C16:0,C16H32O2,0.801,1.610452,255.233109,0,4249.7,0,0,0,0,0,10655.34,98642.19
,17,20,0,269.324097,10.972,0.054547,,D2-label-14,C16:0,C16:0,C16H32O2,0.852,12.124501,255.233109,0,0,0,0,0,0,0,0,0
,17,21,4,257.24411,10.925,0.757431,,D2-label-2,C16:0,C16:0,C16H32O2,0.805,5.457077,255.233109,219832144,8861423,12212205,703763.5,403813.41,2886620.75,241921.61,6096802,42817524
,17,22,6,258.250824,10.963,0.830509,,D2-label-3,C16:0,C16:0,C16H32O2,0.843,3.781435,255.233109,100626472,9109715,8313680.5,1315464.88,808443.69,2770920.25,1964844.62,5649317.5,35863776
,17,23,7,259.257019,10.956,0.809436,,D2-label-4,C16:0,C16:0,C16H32O2,0.836,4.119892,255.233109,41026016,5758351.5,4130016.25,909465.25,354976.59,1401287.5,945590.31,3575139.25,23341966
,17,24,8,260.263702,10.948,0.798719,,D2-label-5,C16:0,C16:0,C16H32O2,0.828,2.462378,255.233109,14644883,3052987.25,2004511.38,500961.91,0,798027.5,89856.88,2033254.38,13481405
,17,25,13,261.269928,10.944,0.801713,,D2-label-6,C16:0,C16:0,C16H32O2,0.824,2.686503,255.233109,6113081.5,1337702.62,743599.75,166439.58,0,285449.81,0,1105123.5,6867909.5
,17,26,19,262.276215,10.946,0.786089,,D2-label-7,C16:0,C16:0,C16H32O2,0.826,2.676195,255.233109,2144820.25,607132.75,290910.84,99303.15,0,159951.14,0,513496.5,3002082.75
,17,27,25,263.282471,10.945,0.835277,,D2-label-8,C16:0,C16:0,C16H32O2,0.825,2.665967,255.233109,740577.69,153368.3,86210.4,0,0,21658.61,0,218105.45,1293640.88
,17,28,19,264.289246,10.925,0.789242,,D2-label-9,C16:0,C16:0,C16H32O2,0.805,0.808292,255.233109,64026.82,33927.84,0,0,0,0,0,54257.51,439137.53
